Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
03/09/2022,1.45,1.62,1.8,2.19,108.7,0.5422445820433437,0.4939473684210527,0.48506191950464417,43.94035036496351,43.94035036496351
03/10/2020,0.58,0.59,0.62,0.83,34.36,-0.48775541795665645,-0.6860526315789474,-0.8749380804953558,-30.399649635036496,-30.399649635036496
03/10/2021,0.25,0.69,1.25,1.76,64.44,-0.38775541795665647,-0.056052631578947354,0.05506191950464423,-0.3196496350364981,-0.3196496350364981
03/10/2022,1.5,1.67,1.84,2.24,106.02,0.5922445820433435,0.5339473684210527,0.5350619195046444,41.2603503649635,41.2603503649635
03/11/2020,0.53,0.54,0.62,0.93,32.98,-0.5377554179566564,-0.6860526315789474,-0.7749380804953557,-31.7796496350365,-31.7796496350365
03/11/2021,0.26,0.7,1.27,1.8,66.02,-0.37775541795665646,-0.036052631578947336,0.09506191950464427,1.2603503649635002,1.2603503649635002
03/11/2022,1.6,1.77,1.91,2.28,109.33,0.6922445820433436,0.6039473684210526,0.575061919504644,44.5703503649635,44.5703503649635
03/12/2020,0.51,0.52,0.6,1.0,31.5,-0.5577554179566564,-0.7060526315789474,-0.7049380804953558,-33.259649635036496,-33.259649635036496
03/12/2021,0.32,0.8,1.41,1.94,65.61,-0.27775541795665637,0.10394736842105257,0.23506191950464417,0.8503503649635036,0.8503503649635036
03/13/2020,0.53,0.62,0.76,1.19,31.73,-0.4577554179566564,-0.5460526315789473,-0.5149380804953558,-33.02964963503649,-33.02964963503649
03/14/2022,1.71,1.9,2.07,2.42,103.01,0.8222445820433435,0.7639473684210525,0.7150619195046442,38.25035036496351,38.25035036496351
03/15/2021,0.31,0.79,1.37,1.91,65.39,-0.2877554179566564,0.06394736842105275,0.20506191950464414,0.6303503649635047,0.6303503649635047
03/15/2022,1.74,1.94,2.1,2.47,96.44,0.8622445820433435,0.7939473684210527,0.7650619195046444,31.680350364963502,31.680350364963502
03/16/2020,0.5,0.59,0.72,1.14,28.7,-0.48775541795665645,-0.5860526315789474,-0.5649380804953559,-36.05964963503649,-36.05964963503649
03/16/2021,0.31,0.8,1.4,1.94,64.8,-0.27775541795665637,0.09394736842105256,0.23506191950464417,0.040350364963501306,0.040350364963501306
03/16/2022,1.83,1.99,2.11,2.39,95.04,0.9122445820433436,0.8039473684210525,0.6850619195046443,30.28035036496351,30.28035036496351
03/17/2020,0.66,0.77,0.88,1.28,26.95,-0.3077554179566564,-0.42605263157894735,-0.42493808049535575,-37.80964963503649,-37.80964963503649
03/17/2021,0.28,0.76,1.4,1.99,64.6,-0.3177554179566564,0.09394736842105256,0.2850619195046442,-0.15964963503650154,-0.15964963503650154
03/17/2022,1.83,2.0,2.13,2.41,102.98,0.9222445820433436,0.8239473684210525,0.7050619195046444,38.22035036496351,38.22035036496351
03/18/2020,0.73,0.89,1.02,1.37,20.37,-0.1877554179566564,-0.28605263157894734,-0.3349380804953557,-44.38964963503649,-44.38964963503649
03/18/2021,0.28,0.78,1.43,2.0,60.0,-0.2977554179566564,0.12394736842105258,0.2950619195046442,-4.759649635036496,-4.759649635036496
03/18/2022,1.83,1.99,2.12,2.38,104.7,0.9122445820433436,0.8139473684210528,0.6750619195046441,39.94035036496351,39.94035036496351
03/19/2020,0.68,0.81,0.95,1.33,25.22,-0.26775541795665636,-0.3560526315789474,-0.3749380804953557,-39.5396496350365,-39.5396496350365
03/19/2021,0.27,0.77,1.41,1.97,61.42,-0.3077554179566564,0.10394736842105257,0.2650619195046442,-3.339649635036494,-3.339649635036494
